Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
incorrect_value,2017,Bangalore,3,34,Male,No,0,0
Bachelors,2013,Pune,-963,28,Female,No,242,1
incorrect_value,748,New Delhi,-155,38,,No,2,0
Masters,2016,Bangalore,3,27,Male,No,-180,1
Masters,2017,Pune,3,24,Male,Yes,2,1
Bachelors,2016,Bangalore,3,22,Male,No,0,0
Bachelors,2015,New Delhi,3,38,Male,No,0,0
Bachelors,2016,Bangalore,3,34,Female,No,2,1
Bachelors,2016,,3,23,Male,No,1,0
Masters,2017,New Delhi,2,37,Male,No,-827,0
Masters,2012,Bangalore,3,27,Male,incorrect_value,5,1
Bachelors,2016,Pune,3,34,Male,No,3,0
Bachelors,2018,Pune,3,32,Male,Yes,5,-866
Bachelors,2016,Bangalore,-612,39,Male,No,2,0
Bachelors,2012,,3,858,Male,No,4,82
Bachelors,2017,Bangalore,1,29,Male,No,3,0
Bachelors,2014,Bangalore,3,34,Female,No,2,0
Bachelors,2014,Pune,3,34,Male,No,4,0
Bachelors,2015,Pune,2,30,Female,No,-487,93
Bachelors,2016,New Delhi,895,22,Female,No,0,1
Bachelors,2012,Bangalore,3,37,Male,No,0,0
Masters,2017,New Delhi,2,28,Male,No,198,0
Bachelors,2017,New Delhi,2,36,Male,No,3,0
Bachelors,986,Bangalore,3,27,Male,Yes,5,0
Bachelors,2017,Bangalore,3,29,,No,4,0
Bachelors,-95,Bangalore,3,22,Female,Yes,0,0
Bachelors,2016,Bangalore,-926,363,Male,No,2,0
incorrect_value,559,Bangalore,3,23,Male,No,1,0
Bachelors,2013,Pune,2,31,Female,No,2,1
Masters,2017,New Delhi,2,30,Female,No,2,0
PHD,2013,New Delhi,3,25,Male,No,3,0
Bachelors,2014,Bangalore,6,23,,No,1,569
Bachelors,2018,Bangalore,3,26,Male,No,4,1
Bachelors,2016,Bangalore,3,40,Male,No,5,0
Bachelors,2017,Pune,2,37,,No,0,1
Bachelors,2014,Bangalore,1,30,Female,incorrect_value,3,0
Bachelors,2012,New Delhi,3,29,Male,No,3,0
Bachelors,2018,New Delhi,2,34,,No,0,1
Bachelors,345,Pune,2,29,Female,No,2,1
Bachelors,2014,Pune,3,30,Male,Yes,4,0
,2015,Bangalore,3,36,Male,No,1,0
Masters,2017,New Delhi,2,-994,Male,No,1,0
Bachelors,2013,Bangalore,3,30,Male,No,3,1
Bachelors,2014,incorrect_value,3,36,Male,,0,0
Bachelors,2015,Pune,3,39,Male,No,4,0
Bachelors,658,Bangalore,3,23,Female,No,1,0
PHD,2012,New Delhi,3,27,,No,5,0
incorrect_value,2013,New Delhi,3,35,Male,No,2,0
Masters,2017,New Delhi,2,84,Male,No,0,0
Bachelors,2013,Bangalore,3,30,Female,No,1,-460
PHD,2017,New Delhi,-544,34,Male,No,2,0
Bachelors,2015,Pune,2,26,incorrect_value,No,4,1
Bachelors,629,Bangalore,3,34,Female,No,0,0
Bachelors,2014,Bangalore,611,31,Female,Yes,622,0
Bachelors,2017,New Delhi,3,31,Female,Yes,5,0
PHD,2013,New Delhi,3,28,Male,,2,-614
Bachelors,2016,Bangalore,3,38,Male,No,-25,0
Masters,2014,Pune,3,39,Female,No,2,0
Bachelors,2013,Pune,3,32,Male,No,4,0
,2017,,2,36,Male,No,2,-586
Masters,974,New Delhi,3,29,Male,No,3,0
Bachelors,2015,Bangalore,3,30,Male,incorrect_value,5,0
PHD,2013,Bangalore,2,25,Male,incorrect_value,3,1
Bachelors,2014,Pune,1,22,incorrect_value,No,0,1
Bachelors,2016,,286,34,,No,4,0
Bachelors,2018,Bangalore,-714,40,Male,No,1,1
PHD,2013,,3,26,Male,,4,0
Bachelors,2014,New Delhi,3,28,Male,No,0,0
Bachelors,471,Bangalore,3,24,Female,No,2,0
Masters,2017,Bangalore,3,40,Female,,2,1
Bachelors,2018,,3,23,Female,No,-348,1
Masters,2017,Bangalore,758,31,Male,No,-990,-837
Bachelors,2014,Pune,3,25,Female,No,3,0
Bachelors,2014,,1,27,Male,No,348,0
Masters,2017,New Delhi,2,25,Female,No,3,1
Bachelors,2015,Bangalore,3,40,Male,No,0,1
,2014,Bangalore,1,23,Female,No,-852,0
Bachelors,2017,Bangalore,3,23,,No,1,0
Bachelors,2012,Bangalore,3,39,Male,No,1,0
PHD,2015,New Delhi,1,37,Male,No,1,0
Bachelors,2017,Pune,3,597,Male,No,-362,0
Bachelors,2013,Bangalore,3,31,Female,No,-110,1
Bachelors,2016,Bangalore,3,38,Male,No,5,0
Bachelors,2017,Bangalore,3,25,Female,No,-132,0
Bachelors,2015,Bangalore,3,-4,Female,Yes,5,1
Bachelors,2016,Pune,2,36,Male,No,0,1
Bachelors,2017,Pune,2,27,incorrect_value,No,5,1
Masters,2015,Pune,2,32,incorrect_value,No,4,719
Bachelors,2014,Bangalore,3,28,Male,No,4,0
Masters,2012,New Delhi,3,32,Male,No,2,0
Bachelors,2018,Bangalore,3,30,Male,No,0,1
Bachelors,2015,New Delhi,3,22,Male,No,0,0
Bachelors,2017,New Delhi,2,34,Female,incorrect_value,5,0
Masters,2013,New Delhi,3,36,Male,No,2,0
Bachelors,2014,Bangalore,3,39,Male,incorrect_value,3,1
PHD,2018,Bangalore,3,26,Male,No,4,1
Bachelors,2016,Bangalore,3,31,Female,No,-773,0
Bachelors,-831,Bangalore,3,27,Male,No,5,1
Bachelors,2014,Bangalore,3,29,Female,No,0,0
Bachelors,2015,Bangalore,3,24,Female,No,2,1
Masters,2012,Pune,3,918,Male,No,3,1
Bachelors,2013,Pune,3,25,Male,No,3,0
Masters,2017,New Delhi,3,26,Female,No,-436,1
,2015,Pune,2,28,Female,Yes,1,1
Bachelors,2017,New Delhi,3,28,Male,No,-442,0
Masters,2015,Pune,1,28,Female,No,3,1
Masters,2015,New Delhi,3,25,Male,No,3,0
Bachelors,2017,incorrect_value,3,28,Male,No,1,0
